Date,Close,Open,High,Low,Volume,Change %
11/20/2025,571.94,570,585,568.25,2.69M,0.34%
11/19/2025,570,537,570.5,537,8.87M,6.26%
11/18/2025,536.44,535.98,544,532.1,2.04M,-0.01%
11/17/2025,536.5,549.24,557,532.5,5.32M,0.89%
11/14/2025,531.77,532,536,524.6,2.21M,-0.11%
11/13/2025,532.33,520,534.99,515.01,4.28M,3.83%
11/12/2025,512.68,495,524.88,494,6.96M,3.60%
11/11/2025,494.86,500,500,488,3.05M,-1.15%
11/10/2025,500.61,491,502.89,490.5,1.77M,2.28%
11/07/2025,489.44,490.01,495,488.1,438.15K,-0.77%
11/06/2025,493.25,494.1,499.2,485.23,1.73M,-0.21%
11/05/2025,494.31,505,506.49,491.1,1.74M,-1.91%
11/04/2025,503.94,499.3,515.5,497,4.59M,1.77%
11/03/2025,495.19,484,502.98,481.5,5.47M,1.29%
10/31/2025,488.86,480.1,491,477.01,3.30M,2.55%
10/30/2025,476.71,476,484.25,475.26,1.49M,0.59%
10/29/2025,473.92,475.03,480.5,473.03,896.03K,-0.36%
10/28/2025,475.63,476,481.5,475,1.09M,-0.17%
10/27/2025,476.43,476.99,479.99,472.1,928.33K,-0.18%
10/24/2025,477.28,478.99,480.98,472.02,1.08M,-0.15%
10/23/2025,478,477.99,482.9,468.51,4.57M,0.27%
10/22/2025,476.73,488.65,488.65,475.5,2.93M,-2.10%
10/21/2025,486.98,481.99,492.49,481.99,3.78M,1.32%
10/20/2025,480.62,480,481.32,475.5,1.28M,0.71%
10/17/2025,477.23,479,481.49,475.51,971.40K,-0.19%
10/16/2025,478.16,483,486.84,477.2,1.25M,-0.89%
10/15/2025,482.44,481,488.99,477,3.45M,1.09%
10/14/2025,477.24,478,484.99,476,2.71M,0.68%
10/13/2025,474.04,475.1,478,467,3.48M,-1.46%
10/10/2025,481.04,473.5,489,468.49,3.04M,1.24%
10/09/2025,475.16,475.38,477.85,470.1,1.63M,-0.05%
10/08/2025,475.38,482,482,473.1,2.93M,-1.48%
10/07/2025,482.52,489.89,490,481,2.15M,-0.84%
10/06/2025,486.62,485,494.9,480,4.49M,1.02%
10/03/2025,481.69,467,484,467,5.45M,3.93%
10/02/2025,463.47,466.99,467.4,459.11,2.34M,-0.24%
10/01/2025,464.6,465,467.49,458.5,2.24M,0.38%
09/30/2025,462.84,469,474.29,462,3.23M,-1.02%
09/29/2025,467.62,457,469.89,452,4.13M,3.10%
09/26/2025,453.54,443.5,455.4,443.26,6.76M,2.57%
09/25/2025,442.18,447,447,441.7,1.91M,-0.39%
09/24/2025,443.91,448,452,443.01,1.32M,-0.79%
09/23/2025,447.46,448.73,455,445.5,1.17M,-0.28%
09/22/2025,448.73,452.99,453.99,447.5,1.34M,-0.65%
09/19/2025,451.65,453.29,455,451,514.24K,-0.33%
09/18/2025,453.15,454,455.5,451.5,977.16K,0.15%
09/17/2025,452.46,453.98,454.5,448.49,865.62K,-0.03%
09/16/2025,452.59,457.15,460,451.95,1.60M,-0.79%
09/15/2025,456.21,448.01,459,447.01,863.11K,2.06%
09/12/2025,446.99,452,454.86,445,604.52K,-1.32%
09/11/2025,452.95,454,458.46,451.6,747.69K,-0.64%
09/10/2025,455.87,458,461.39,455,1.78M,-0.27%
09/09/2025,457.09,451.99,459.9,449.05,3.18M,1.57%
09/08/2025,450.03,446,452.11,445,2.27M,0.66%
09/05/2025,447.08,451,453,444.2,1.35M,-0.80%
09/04/2025,450.69,447,454.7,446.5,3.41M,1.13%
09/03/2025,445.65,440.5,448.48,440.5,4.20M,1.45%
09/02/2025,439.26,433.5,440.15,430.51,1.25M,1.32%
09/01/2025,433.55,434,440.88,425,2.58M,-0.63%
08/29/2025,436.31,437.25,440,435.55,725.02K,-0.03%
08/28/2025,436.44,440,442,434,1.24M,-0.91%
08/27/2025,440.46,444.51,452.2,439.5,2.49M,-0.31%
08/26/2025,441.83,436.74,444.87,435,2.32M,1.19%
08/25/2025,436.65,437.11,439.79,434,692.49K,-0.11%
08/22/2025,437.12,436.98,442,434.8,5.11M,0.73%
08/21/2025,433.94,437,442.5,433.5,7.19M,-0.62%
08/20/2025,436.66,441.54,443,435.9,1.82M,-1.11%
08/19/2025,441.54,444.32,445.99,439.5,1.54M,-0.63%
08/18/2025,444.32,443,446.85,440.06,1.14M,0.45%
08/15/2025,442.33,443,445.8,441.15,2.25M,-0.03%
08/13/2025,442.48,447.3,453,441.05,1.42M,-1.07%
08/12/2025,447.25,451.89,455.1,446.2,1.83M,-1.11%
08/11/2025,452.25,459,465,451.1,2.72M,-0.22%
08/08/2025,453.23,449.38,475,440,10.15M,0.86%
08/07/2025,449.38,460,460.88,446.5,2.79M,-3.47%
08/06/2025,465.53,470.99,473,449.98,6.69M,-1.04%
08/05/2025,470.42,461.5,475.75,461.5,4.78M,2.08%
08/04/2025,460.84,458.47,462,455.51,2.67M,0.52%
08/01/2025,458.47,460,461.5,454.8,2.15M,0.19%
07/31/2025,457.6,465,469.39,455,2.07M,-1.41%
07/30/2025,464.14,467,470.5,462.5,1.22M,-0.70%
07/29/2025,467.43,468,476.5,465.11,4.32M,0.75%
07/28/2025,463.95,462.93,466.74,460.4,891.73K,0.22%
07/25/2025,462.93,463,466.75,462,404.75K,-0.06%
07/24/2025,463.22,469,470.98,462,579.79K,-1.16%
07/23/2025,468.64,473.01,476,468.01,1.11M,-0.16%
07/22/2025,469.4,460.51,481.98,460.51,2.30M,1.46%
07/21/2025,462.63,469.5,472.95,462,1.43M,-1.48%
07/18/2025,469.56,470,490,465,6.74M,4.13%
07/17/2025,450.94,439.98,460,439.98,5.01M,2.92%
07/16/2025,438.14,418.42,443.2,417.5,5.38M,5.44%
07/15/2025,415.54,412.53,424,409.5,4.40M,0.73%
07/14/2025,412.53,408.4,414.9,406,1.65M,1.67%
07/11/2025,405.75,405.97,412,405.1,1.22M,0.25%
07/10/2025,404.75,401.9,405.99,401.5,729.81K,0.68%
07/09/2025,402.01,406.99,406.99,400.7,1.26M,-1.04%
07/08/2025,406.22,409.99,410,403.5,1.09M,-0.52%
07/07/2025,408.36,406.11,411.67,406.11,1.43M,0.86%
07/04/2025,404.86,417,417,403,1.82M,-2.15%
07/03/2025,413.74,414.4,416.5,408,1.25M,-0.01%
07/02/2025,413.8,408.31,419.4,408.31,2.40M,0.39%
07/01/2025,412.2,396.16,424.98,396.16,5.74M,5.04%
06/30/2025,392.41,387,395.75,383.25,1.69M,1.52%
06/27/2025,386.54,378,393,378,2.56M,2.23%
06/26/2025,378.1,380,380,376.01,646.23K,-0.01%
06/25/2025,378.13,379.99,381.5,377,598.60K,0.08%
06/24/2025,377.82,382,382,376,1.68M,1.62%
06/23/2025,371.81,370,374.88,369.71,2.27M,-0.60%
06/20/2025,374.05,376,376.51,373,517.91K,-0.37%
06/19/2025,375.45,375,378.9,373.99,779.53K,0.24%
06/18/2025,374.55,377,378,374,855.82K,-0.54%
06/17/2025,376.6,380,382.44,375.51,490.51K,-0.27%
06/16/2025,377.62,378.59,380,375.05,365.38K,-0.26%
06/13/2025,378.59,374.01,383,374.01,896.24K,-1.23%
06/12/2025,383.31,386.49,391.65,382.51,1.30M,-0.74%
06/11/2025,386.17,384.01,388,382.01,1.16M,1.88%
06/10/2025,379.03,372.94,384.8,371.03,1.44M,1.64%
06/05/2025,372.93,374.79,375,370.1,299.70K,-0.50%
06/04/2025,374.79,373,376,371.1,1.68M,0.77%
06/03/2025,371.94,365.07,375,365.07,4.79M,1.79%
06/02/2025,365.39,371,373.88,363.55,2.07M,-0.54%
05/30/2025,367.39,358,370.5,355,1.95M,2.23%
05/29/2025,359.36,355,360,355,375.87K,0.66%
05/27/2025,357.01,357.5,359,355.78,415.11K,-0.12%
05/26/2025,357.44,360,361.48,356.41,405.53K,-0.72%
05/23/2025,360.04,361.95,362,359.52,306.61K,-0.53%
05/22/2025,361.95,362.1,365.49,361.11,551.93K,-0.15%
05/21/2025,362.51,364.2,367,361.51,570.08K,0.03%
05/20/2025,362.4,367.1,368,362,664.77K,-1.02%
05/19/2025,366.14,370.2,370.2,365.01,723.49K,-0.60%
05/16/2025,368.36,372.9,372.9,368,825.76K,-1.39%
05/15/2025,373.56,373.99,374.98,370.5,874.56K,0.32%
05/14/2025,372.36,369.9,378.6,365.01,10.55M,0.97%
05/13/2025,368.79,380,380,366.05,1.50M,-0.71%
05/12/2025,371.43,371.43,371.43,366,3.06M,10.00%
05/09/2025,337.66,329.9,339.5,325,3.51M,1.92%
05/08/2025,331.3,350,354,314.18,5.73M,-6.96%
05/07/2025,356.09,330.01,367.49,330.01,4.73M,-0.15%
05/06/2025,356.63,356,361.95,355.5,822.91K,0.06%
05/05/2025,356.41,353.49,356.99,350,520.83K,1.29%
05/02/2025,351.86,353.99,359.9,350.52,1.18M,0.34%
04/30/2025,350.68,352.99,355.2,348,2.49M,-1.67%
04/29/2025,356.64,358.01,359.9,351,1.02M,-0.47%
04/28/2025,358.34,359.9,364.39,354.5,1.29M,-0.15%
04/25/2025,358.89,354,361.5,350,1.46M,1.26%
04/24/2025,354.44,350,359.95,350,1.42M,-1.15%
04/23/2025,358.58,357.02,368.98,355,1.73M,-0.45%
04/22/2025,360.19,342.51,364.99,342.51,3.24M,4.90%
04/21/2025,343.38,345.07,346.99,339.3,1.78M,-0.36%
04/18/2025,344.62,352.06,352.06,340,2.14M,-2.11%
04/17/2025,352.06,352,356,350.05,868.91K,-0.38%
04/16/2025,353.4,353.5,357,352,851.26K,0.19%
04/15/2025,352.74,352.5,357.84,351,1.26M,0.26%
04/14/2025,351.81,356.11,358.6,347.9,2.03M,-1.13%
04/11/2025,355.82,363,363,355,1.29M,-1.85%
04/10/2025,362.52,370,373,362,951.48K,0.39%
04/09/2025,361.1,362,364.9,355.1,1.81M,-0.47%
04/08/2025,362.79,366,369.25,362,1.96M,-0.57%
04/07/2025,364.88,369,369.5,344,2.70M,-1.48%
04/04/2025,370.38,367.5,374.16,367.5,1.75M,0.69%
04/03/2025,367.86,371,372,365.01,1.42M,-0.51%
03/27/2025,369.76,374,375,368.01,1.53M,-1.16%
03/26/2025,374.09,375,378,372.93,725.33K,0.10%
03/25/2025,373.73,372.56,375,368.11,1.27M,0.25%
03/24/2025,372.79,379,379.85,372,905.24K,-1.43%
03/21/2025,378.2,382.38,383.89,377,846.85K,-1.09%
03/20/2025,382.38,380,389,380,1.80M,-4.25%
03/19/2025,399.37,402.01,402.25,398.5,2.46M,-0.21%
03/18/2025,400.21,395.94,402.98,394,2.12M,1.43%
03/17/2025,394.57,399.4,401.99,390,1.86M,-0.73%
03/14/2025,397.49,396,399,395,960.83K,1.03%
03/13/2025,393.42,391.85,395.45,390.05,673.21K,1.32%
03/12/2025,388.3,392.2,394,387,1.03M,-1.15%
03/11/2025,392.81,393,395.8,392,480.87K,-0.36%
03/10/2025,394.24,397,399.99,393,1.61M,-0.45%
03/07/2025,396.02,398.15,398.9,393,1.51M,-0.52%
03/06/2025,398.11,398,399.99,394.5,2.75M,0.29%
03/05/2025,396.97,399,402.22,396.01,1.16M,-0.50%
03/04/2025,398.96,396.23,402,394,580.55K,0.69%
03/03/2025,396.23,399.5,399.5,396,758.79K,-0.31%
02/28/2025,397.45,398.5,403,396,873.24K,-1.04%
02/27/2025,401.64,402.5,403.89,400.25,465.52K,-0.08%
