Date,Close,Open,High,Low,Volume,Change %
11/21/2025,307.38,307.5,307.5,305.58,7.16K,0.45%
11/20/2025,305.99,306,307.99,305.25,13.36K,0.01%
11/19/2025,305.95,305,310,305,71.20K,0.46%
11/18/2025,304.56,306.89,306.89,304,17.58K,-0.31%
11/17/2025,305.5,307,307,304.1,20.06K,-0.10%
11/14/2025,305.81,305,306.5,304.1,9.85K,0.33%
11/13/2025,304.79,304.41,307.99,304,21.11K,0.13%
11/12/2025,304.4,306.05,306.8,304,36.07K,-0.88%
11/11/2025,307.1,306.26,310,305,81.92K,-0.06%
11/10/2025,307.28,305.5,309.99,305.5,38.99K,0.66%
11/07/2025,305.28,302,306,301.65,21.75K,0.40%
11/06/2025,304.06,304.9,305.99,301,26.51K,-0.11%
11/05/2025,304.41,309.7,309.95,301,38.79K,-0.59%
11/04/2025,306.23,310.25,312,305,34.71K,-0.63%
11/03/2025,308.18,305,310,304,80.95K,1.70%
10/31/2025,303.02,302,304.89,299.9,114.98K,1.23%
10/30/2025,299.34,302.01,306.44,297.05,143.75K,-0.84%
10/29/2025,301.88,305.6,305.9,301.1,85.99K,-1.21%
10/28/2025,305.57,305.03,309.88,305,59.43K,-1.02%
10/27/2025,308.72,316,316,307.1,66.86K,-1.04%
10/24/2025,311.98,317.5,317.5,305,84.44K,-1.90%
10/23/2025,318.01,323.95,323.95,317.5,73.97K,-0.53%
10/22/2025,319.71,318.02,326,317.09,163.50K,0.27%
10/21/2025,318.84,318.01,320.16,317.01,37.04K,0.41%
10/20/2025,317.53,322,323,315.02,87.86K,-0.54%
10/17/2025,319.24,318,323,315.1,61.37K,0.34%
10/16/2025,318.17,325,326.5,317.1,141.45K,-1.80%
10/15/2025,324.01,326.4,327.4,323,88.26K,-0.28%
10/14/2025,324.91,314,327.87,314,127.38K,4.24%
10/13/2025,311.7,320,320,310.51,161.22K,-2.75%
10/10/2025,320.51,319,324.44,319,87.06K,-0.63%
10/09/2025,322.54,322.57,325.97,320.2,55.52K,0.02%
10/08/2025,322.48,327,327,320,100.37K,-1.16%
10/07/2025,326.28,327,330.97,325.82,82.36K,-0.34%
10/06/2025,327.39,331.25,333,326.03,128.74K,-1.14%
10/03/2025,331.18,333,342.22,325.66,539.27K,-0.49%
10/02/2025,332.82,332.69,335,328.01,1.56M,1.15%
10/01/2025,329.05,338.9,338.9,328.02,434.58K,-1.85%
09/30/2025,335.26,331.98,341.9,327.9,182.22K,1.65%
09/29/2025,329.83,330.98,331.95,325,134.44K,0.35%
09/26/2025,328.68,331,332.5,327,119.93K,-0.66%
